Table Name,Is View,Column Name,Data Type,IS_NULL_COL_INT,OUTDATED Num NOT Null Rows,OUTDATED Is Null Column,Last Analyzed,Num NOT Null Rows,Is Null Column
R5MATCOST,TRUE,MC_EVENT,VARCHAR2,#N/A,1736434,FALSE,,#N/A,#N/A
R5MATCOST,TRUE,MC_COST,NUMBER,#N/A,1736434,FALSE,,#N/A,#N/A
R5ACTIONCODES,FALSE,ACC_CLASS,VARCHAR2,1,0,TRUE,6/15/2021 20:01,0,TRUE
R5ACTIONCODES,FALSE,ACC_CLASS_ORG,VARCHAR2,1,0,TRUE,6/15/2021 20:01,0,TRUE
R5ACTIONCODES,FALSE,ACC_CODE,VARCHAR2,0,48,FALSE,6/15/2021 20:01,48,FALSE
R5ACTIONCODES,FALSE,ACC_CREATED,DATE,0,48,FALSE,6/15/2021 20:01,48,FALSE
R5ACTIONCODES,FALSE,ACC_DESC,VARCHAR2,0,48,FALSE,6/15/2021 20:01,48,FALSE
R5ACTIONCODES,FALSE,ACC_ENABLEWORKORDERS,VARCHAR2,0,48,FALSE,6/15/2021 20:01,48,FALSE
R5ACTIONCODES,FALSE,ACC_GEN,VARCHAR2,0,48,FALSE,6/15/2021 20:01,48,FALSE
R5ACTIONCODES,FALSE,ACC_GROUP,VARCHAR2,1,0,TRUE,6/15/2021 20:01,0,TRUE
R5ACTIONCODES,FALSE,ACC_LASTSAVED,DATE,1,0,TRUE,3/25/2023 5:39,0,TRUE
R5ACTIONCODES,FALSE,ACC_NOTUSED,VARCHAR2,0,48,FALSE,6/15/2021 20:01,48,FALSE
R5ACTIONCODES,FALSE,ACC_PARTFAILURE,VARCHAR2,0,48,FALSE,6/15/2021 20:01,48,FALSE
R5ACTIONCODES,FALSE,ACC_UPDATECOUNT,NUMBER,0,48,FALSE,6/15/2021 20:01,48,FALSE
R5ACTIONCODES,FALSE,ACC_UPDATED,DATE,0,48,FALSE,6/15/2021 20:01,48,FALSE
R5ACCOUNTDETAIL,FALSE,ACD_ACCOUNTED,VARCHAR2,0,41799006,FALSE,3/5/2024 3:46,42424320,FALSE
R5ACCOUNTDETAIL,FALSE,ACD_ALIAS,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
R5ACCOUNTDETAIL,FALSE,ACD_CODE,NUMBER,0,41799006,FALSE,3/5/2024 3:46,42424320,FALSE
R5ACCOUNTDETAIL,FALSE,ACD_LASTSAVED,DATE,0,2719758,FALSE,3/5/2024 3:46,3345074,FALSE
R5ACCOUNTDETAIL,FALSE,ACD_RENTITY,VARCHAR2,0,41798974,FALSE,3/5/2024 3:46,42424288,FALSE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT1,VARCHAR2,0,41798970,FALSE,3/5/2024 3:46,42424284,FALSE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT10,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT11,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT12,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT13,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT14,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT15,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT16,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT17,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT18,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT19,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT2,VARCHAR2,0,41798974,FALSE,3/5/2024 3:46,42424288,FALSE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT20,VARCHAR2,0,32,FALSE,3/5/2024 3:46,32,FALSE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT21,VARCHAR2,0,32,FALSE,3/5/2024 3:46,32,FALSE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT22,VARCHAR2,0,32,FALSE,3/5/2024 3:46,32,FALSE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT23,VARCHAR2,0,32,FALSE,3/5/2024 3:46,32,FALSE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT24,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT25,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT26,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
R5ACCOUNTDETAIL,FALSE,ACD_SEGMENT27,VARCHAR2,1,0,TRUE,3/5/2024 3:46,0,TRUE
