Table,Column,Position,Oracle_Data_Type,SQL_Server_Data_Type,GridName,GridID
COR_INBOX_ENTRY,C_ID,1,"NUMBER(38,0)",bigint,,
COR_INBOX_HEADERS,C_ID,1,"NUMBER(38,0)",bigint,,
COR_OUTBOX_ENTRY,C_ID,1,"NUMBER(38,0)",bigint,,
COR_OUTBOX_HEADERS,C_ID,1,"NUMBER(38,0)",bigint,,
COR_PROPERTY,C_ID,1,"NUMBER(38,0)",bigint,,
ESB_INBOUND_DUPLICATE,C_MESSAGE_ID,1,VARCHAR2(250),nvarchar(250),,
ESB_PREVIOUS_VERSION_MEDIATION,C_ID,1,"NUMBER(38,0)",bigint,,
ESB_VARIATION_ID_MEDIATION,C_ID,1,"NUMBER(38,0)",bigint,,
R5ACCOUNTDETAIL,ACD_CODE,1,NUMBER,int,,
R5ACCOUNTDETAIL,ACD_ACCOUNTED,2,VARCHAR2(2),nvarchar(2),,
R5ACDPARAMS,ADP_SEGMENT,1,VARCHAR2(30),nvarchar(30),,
R5ACTCHECKLISTS,ACK_CODE,1,VARCHAR2(30),nvarchar(30),,
R5ACTCLASSES,ACL_CLASS,1,VARCHAR2(8),nvarchar(8),,
R5ACTCLASSES,ACL_CLASS_ORG,2,VARCHAR2(15),nvarchar(15),,
R5ACTCLASSES,ACL_ACTION,3,VARCHAR2(8),nvarchar(8),,
R5ACTCLCONDITIONITEMS,YCI_PK,1,VARCHAR2(30),nvarchar(30),,
R5ACTCLCONDITIONITEMS,YCI_ACKCODE,2,VARCHAR2(30),nvarchar(30),,
R5ACTCLCONDITIONITEMS,YCI_ITEMACKCODE,3,VARCHAR2(30),nvarchar(30),,
R5ACTCLCONDITIONS,YCC_PK,1,VARCHAR2(30),nvarchar(30),,
R5ACTIONCODES,ACC_CODE,1,VARCHAR2(8),nvarchar(8),,
R5ACTIVEQUEUELIST,AQT_CODE,1,VARCHAR2(60),nvarchar(60),,
R5ACTIVITIES,ACT_EVENT,1,VARCHAR2(30),nvarchar(30),,
R5ACTIVITIES,ACT_ACT,2,"NUMBER(8,0)","numeric(8,0)",,
R5ACTQUALIFICATIONS,AQU_EVENT,1,VARCHAR2(30),nvarchar(30),,
R5ACTQUALIFICATIONS,AQU_ACTIVITY,2,"NUMBER(8,0)","numeric(8,0)",,
R5ACTQUALIFICATIONS,AQU_QUALIFICATION,3,VARCHAR2(20),nvarchar(20),,
R5ACTQUALIFICATIONS,AQU_SOURCE,4,VARCHAR2(1),nvarchar(1),,
R5ACTSCHEDULES,ACS_CODE,1,VARCHAR2(30),nvarchar(30),,
R5ADDETAILS,ADD_CODE,1,VARCHAR2(255),nvarchar(255),,
R5ADDETAILS,ADD_RENTITY,2,VARCHAR2(4),nvarchar(4),,
R5ADDETAILS,ADD_TYPE,3,VARCHAR2(4),nvarchar(4),,
R5ADDETAILS,ADD_LANG,4,VARCHAR2(2),nvarchar(2),,
R5ADDETAILS,ADD_LINE,5,"NUMBER(12,0)","numeric(12,0)",,
R5ADDETAILSINTERFACE,ADI_TRANSID,1,NUMBER,bigint,,
