tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,33377,PART,PART,*,*,10275#BCRTC,+,+
LDOC,33378,PART,PART,*,*,10276#BCRTC,+,+
LDOC,33379,PART,PART,*,*,10277#BCRTC,+,+
LDOC,33380,PART,PART,*,*,10278#BCRTC,+,+
LDOC,33381,PART,PART,*,*,10279#BCRTC,+,+
LDOC,33382,PART,PART,*,*,10298#BCRTC,+,+
LDOC,33383,PART,PART,*,*,10290#BCRTC,+,+
LDOC,33384,PART,PART,*,*,10289#BCRTC,+,+
LDOC,33385,PART,PART,*,*,10297#BCRTC,+,+
LDOC,33386,PART,PART,*,*,10296#BCRTC,+,+
LDOC,33387,PART,PART,*,*,10295#BCRTC,+,+
LDOC,33388,PART,PART,*,*,10294#BCRTC,+,+
LDOC,33389,PART,PART,*,*,10304#BCRTC,+,+
LDOC,33390,PART,PART,*,*,10303#BCRTC,+,+
LDOC,33391,PART,PART,*,*,10301#BCRTC,+,+
LDOC,33392,PART,PART,*,*,10300#BCRTC,+,+
LDOC,33393,PART,PART,*,*,10302#BCRTC,+,+
LDOC,33394,PART,PART,*,*,10305#BCRTC,+,+
LDOC,33395,PART,PART,*,*,10293#BCRTC,+,+
LDOC,33396,PART,PART,*,*,10306#BCRTC,+,+
LDOC,33397,PART,PART,*,*,10308#BCRTC,+,+
LDOC,33398,PART,PART,*,*,10309#BCRTC,+,+
LDOC,33399,PART,PART,*,*,10292#BCRTC,+,+
LDOC,33400,PART,PART,*,*,10307#BCRTC,+,+
LDOC,33401,PART,PART,*,*,13040#BCRTC,+,+
LDOC,33402,PART,PART,*,*,10299#BCRTC,+,+
LDOC,33403,PART,PART,*,*,13041#BCRTC,+,+
LDOC,33404,PART,PART,*,*,10288#BCRTC,+,+
LDOC,33405,PART,PART,*,*,10284#BCRTC,+,+
LDOC,33406,PART,PART,*,*,10287#BCRTC,+,+
LDOC,33407,PART,PART,*,*,10291#BCRTC,+,+
LDOC,33408,PART,PART,*,*,10283#BCRTC,+,+
LDOC,33409,PART,PART,*,*,10286#BCRTC,+,+
LDOC,33410,PART,PART,*,*,10285#BCRTC,+,+
LDOC,33411,PART,PART,*,*,10282#BCRTC,+,+
LDOC,33412,PART,PART,*,*,13099#BCRTC,+,+
LDOC,33413,PART,PART,*,*,10281#BCRTC,+,+
LDOC,33414,PART,PART,*,*,10336#BCRTC,+,+
LDOC,33415,PART,PART,*,*,10335#BCRTC,+,+
LDOC,33416,PART,PART,*,*,10334#BCRTC,+,+
LDOC,33417,PART,PART,*,*,10333#BCRTC,+,+
LDOC,33418,PART,PART,*,*,10332#BCRTC,+,+
LDOC,33419,PART,PART,*,*,10401#BCRTC,+,+
LDOC,33420,PART,PART,*,*,10402#BCRTC,+,+
LDOC,33421,PART,PART,*,*,10408#BCRTC,+,+
LDOC,33422,PART,PART,*,*,10419#BCRTC,+,+
LDOC,33423,PART,PART,*,*,10431#BCRTC,+,+
LDOC,33424,PART,PART,*,*,10473#BCRTC,+,+
LDOC,33425,PART,PART,*,*,10475#BCRTC,+,+
LDOC,33426,PART,PART,*,*,10535#BCRTC,+,+
LDOC,33427,PART,PART,*,*,10571#BCRTC,+,+
LDOC,33428,PART,PART,*,*,10572#BCRTC,+,+
LDOC,33429,PART,PART,*,*,10569#BCRTC,+,+
LDOC,33430,PART,PART,*,*,10581#BCRTC,+,+
LDOC,33431,PART,PART,*,*,10834#BCRTC,+,+
LDOC,33432,PART,PART,*,*,10835#BCRTC,+,+
LDOC,33433,PART,PART,*,*,10836#BCRTC,+,+
LDOC,33434,PART,PART,*,*,12491#BCRTC,+,+
LDOC,33435,PART,PART,*,*,12840#BCRTC,+,+
LDOC,33436,PART,PART,*,*,13100#BCRTC,+,+
LDOC,33437,PART,PART,*,*,13101#BCRTC,+,+
LDOC,33438,PART,PART,*,*,13102#BCRTC,+,+
LDOC,33439,PART,PART,*,*,13969#BCRTC,+,+
LDOC,33440,PART,PART,*,*,14057#BCRTC,+,+
LDOC,33441,PART,PART,*,*,14214#BCRTC,+,+
LDOC,33442,PART,PART,*,*,14726#BCRTC,+,+
LDOC,33443,PART,PART,*,*,14555#BCRTC,+,+
LDOC,33444,PART,PART,*,*,14875#BCRTC,+,+
LDOC,33445,PART,PART,*,*,15627#BCRTC,+,+
LDOC,33446,PART,PART,*,*,15626#BCRTC,+,+
LDOC,33447,PART,PART,*,*,15628#BCRTC,+,+
LDOC,33448,PART,PART,*,*,15629#BCRTC,+,+
LDOC,33449,PART,PART,*,*,15630#BCRTC,+,+
LDOC,33450,PART,PART,*,*,15631#BCRTC,+,+
LDOC,33451,PART,PART,*,*,15632#BCRTC,+,+
LDOC,33452,PART,PART,*,*,15633#BCRTC,+,+
