tkd_trans,tkd_promptdata1,legacy_part_number,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,37784,C00-03-0303-001,PART,PART,*,*,10275#BCRTC,+,+
LDOC,37785,C00-03-0303-002,PART,PART,*,*,10276#BCRTC,+,+
LDOC,37786,C00-03-0303-003,PART,PART,*,*,10277#BCRTC,+,+
LDOC,37787,C00-03-0303-004,PART,PART,*,*,10278#BCRTC,+,+
LDOC,37788,C00-03-0303-005,PART,PART,*,*,10279#BCRTC,+,+
LDOC,37789,C00-03-0303-006,PART,PART,*,*,10298#BCRTC,+,+
LDOC,37790,C00-03-0303-007,PART,PART,*,*,10290#BCRTC,+,+
LDOC,37791,C00-03-0303-008,PART,PART,*,*,10289#BCRTC,+,+
LDOC,37792,C00-03-0303-009,PART,PART,*,*,10297#BCRTC,+,+
LDOC,37793,C00-03-0303-010,PART,PART,*,*,10296#BCRTC,+,+
LDOC,37794,C00-03-0303-011,PART,PART,*,*,10295#BCRTC,+,+
LDOC,37795,C00-03-0303-012,PART,PART,*,*,10294#BCRTC,+,+
LDOC,37796,C00-03-0303-013,PART,PART,*,*,10304#BCRTC,+,+
LDOC,37797,C00-03-0303-014,PART,PART,*,*,10303#BCRTC,+,+
LDOC,37798,C00-03-0303-016,PART,PART,*,*,10301#BCRTC,+,+
LDOC,37799,C00-03-0303-017,PART,PART,*,*,10300#BCRTC,+,+
LDOC,37800,C00-03-0303-018,PART,PART,*,*,10302#BCRTC,+,+
LDOC,37801,C00-03-0303-019,PART,PART,*,*,10305#BCRTC,+,+
LDOC,37802,C00-03-0303-020,PART,PART,*,*,10293#BCRTC,+,+
LDOC,37803,C00-03-0303-021,PART,PART,*,*,10306#BCRTC,+,+
LDOC,37804,C00-03-0303-022,PART,PART,*,*,10308#BCRTC,+,+
LDOC,37805,C00-03-0303-023,PART,PART,*,*,10309#BCRTC,+,+
LDOC,37806,C00-03-0303-024,PART,PART,*,*,10292#BCRTC,+,+
LDOC,37807,C00-03-0303-025,PART,PART,*,*,10307#BCRTC,+,+
LDOC,37808,C00-03-0303-026,PART,PART,*,*,13040#BCRTC,+,+
LDOC,37809,C00-03-0303-027,PART,PART,*,*,10299#BCRTC,+,+
LDOC,37810,C00-03-0303-028,PART,PART,*,*,13041#BCRTC,+,+
LDOC,37811,C00-03-0303-029,PART,PART,*,*,10288#BCRTC,+,+
LDOC,37812,C00-03-0303-030,PART,PART,*,*,10284#BCRTC,+,+
LDOC,37813,C00-03-0303-031,PART,PART,*,*,10287#BCRTC,+,+
LDOC,37814,C00-03-0303-032,PART,PART,*,*,10291#BCRTC,+,+
LDOC,37815,C00-03-0303-033,PART,PART,*,*,10283#BCRTC,+,+
LDOC,37816,C00-03-0303-034,PART,PART,*,*,10286#BCRTC,+,+
LDOC,37817,C00-03-0303-035,PART,PART,*,*,10285#BCRTC,+,+
LDOC,37818,C00-03-0303-036,PART,PART,*,*,10282#BCRTC,+,+
LDOC,37819,C00-03-0303-037,PART,PART,*,*,13099#BCRTC,+,+
LDOC,37820,C00-03-0303-038,PART,PART,*,*,10281#BCRTC,+,+
LDOC,37821,C00-03-0303-039,PART,PART,*,*,10336#BCRTC,+,+
LDOC,37822,C00-03-0303-040,PART,PART,*,*,10335#BCRTC,+,+
LDOC,37823,C00-03-0303-041,PART,PART,*,*,10334#BCRTC,+,+
LDOC,37824,C00-03-0303-042,PART,PART,*,*,10333#BCRTC,+,+
LDOC,37825,C00-03-0303-043,PART,PART,*,*,10332#BCRTC,+,+
LDOC,37826,C00-03-0303-044,PART,PART,*,*,10401#BCRTC,+,+
LDOC,37827,C00-03-0303-045,PART,PART,*,*,10402#BCRTC,+,+
LDOC,37828,C00-03-0303-046,PART,PART,*,*,10408#BCRTC,+,+
LDOC,37829,C00-03-0303-047,PART,PART,*,*,10419#BCRTC,+,+
LDOC,37830,C00-03-0303-048,PART,PART,*,*,10431#BCRTC,+,+
LDOC,37831,C00-03-0303-049,PART,PART,*,*,10473#BCRTC,+,+
LDOC,37832,C00-03-0303-050,PART,PART,*,*,10475#BCRTC,+,+
