ppm_code,ppm_desc,ppo_object,ppo_meter,ppo_meterdue
MINOR-D:L381,MINOR INSPECTION,9748,8000,999901
MINOR-T:SR1027,MINOR INSPECTION,2273,8000,790667
MINOR-T:SR1293,MINOR INSPECTION,2545,8000,702377
MINOR-T:SR1030,MINOR INSPECTION,2540,8000,725927
MINOR-D:L301,MINOR INSPECTION,9616,8000,996280
MINOR-T:SR1030,MINOR INSPECTION,2518,8000,719978
MINOR-T:SR1027,MINOR INSPECTION,2207,8000,658966
MINOR-D:SR1095,MINOR INSPECTION,3321,8000,1201151
MINOR-D:L454,MINOR INSPECTION,9432,8000,836800
MINOR-D:L341,MINOR INSPECTION,9722,8000,973936
MINOR-D:SR1095,MINOR INSPECTION,3346,8000,1195397
MINOR-D:SR1123,MINOR INSPECTION,7504,8000,1276651
MINOR-D:L482,MINOR INSPECTION,9514,8000,810630
MINOR-D:SR1123,MINOR INSPECTION,7474,8000,1405303
MINOR-D:SR1178,MINOR INSPECTION,8112,8000,940581
MINOR-D:L454,MINOR INSPECTION,9436,8000,880190
MINOR-T:SR1293,MINOR INSPECTION,2554,8000,687538
MINOR-D:L341,MINOR INSPECTION,9725,8000,1007841
MINOR-D:J520,MINOR INSPECTION,19409,8000,529585
MINOR-D:1314A,MINOR INSPECTION,9282,8000,1449728
MINOR-T:SR1293,MINOR INSPECTION,2541,8000,649908
MINOR-D:SR1280,MINOR INSPECTION,8138,8000,874570
MINOR-D:L454,MINOR INSPECTION,9459,8000,690182
MINOR-D:SR1095,MINOR INSPECTION,3323,8000,1184372
MINOR-D:L341,MINOR INSPECTION,9711,8000,986570
MINOR-D:SR648,MINOR INSPECTION,7405,8000,1256971
MINOR-D:SR1095,MINOR INSPECTION,3353,8000,1080501
MINOR-T:SR1030,MINOR INSPECTION,2537,8000,714915
MINOR-D:L483,MINOR INSPECTION,9539,8000,840628
MINOR-D:L302,MINOR INSPECTION,9679,8000,1082026
MINOR-T:SR1027,MINOR INSPECTION,2286,8000,804700
MINOR-D:SR1123,MINOR INSPECTION,7473,8000,1375810
MINOR-D:L302,MINOR INSPECTION,9703,8000,1037140
MINOR-D:L454,MINOR INSPECTION,9442,8000,888878
MINOR-D:L302,MINOR INSPECTION,9686,8000,1030542
MINOR-T:SR1027,MINOR INSPECTION,2154,8000,780051
MINOR-T:SR1027,MINOR INSPECTION,2208,8000,821445
MINOR-D:L454,MINOR INSPECTION,9470,8000,925751
MINOR-D:SR1095,MINOR INSPECTION,3314,8000,1210930
MINOR-D:SR1095,MINOR INSPECTION,3330,8000,1203730
MINOR-D:L302,MINOR INSPECTION,9687,8000,912122
MINOR-D:SR1095,MINOR INSPECTION,3347,8000,1244739
MINOR-D:SR2021,MINOR INSPECTION,16126,8000,556351
MINOR-D:L381,MINOR INSPECTION,9777,8000,987652
MINOR-T:SR1030,MINOR INSPECTION,2511,8000,738361
MINOR-T:SR1293,MINOR INSPECTION,2560,8000,686966
MINOR-T:SR1027,MINOR INSPECTION,2266,8000,799614
MINOR-D:L301,MINOR INSPECTION,9613,8000,1005197
MINOR-T:SR1030,MINOR INSPECTION,2504,8000,725510
MINOR-T:SR1027,MINOR INSPECTION,2197,8000,804963
MINOR-D:L532,MINOR INSPECTION,9545,8000,860127
MINOR-D:L533,MINOR INSPECTION,9563,8000,862627
MINOR-D:L301,MINOR INSPECTION,9643,8000,980255
MINOR-D:L455,MINOR INSPECTION,9471,8000,821616
MINOR-D:SR1095,MINOR INSPECTION,3341,8000,1209071
MINOR-D:L454,MINOR INSPECTION,9409,8000,831682
MINOR-D:L482,MINOR INSPECTION,9501,8000,747504
MINOR-D:L482,MINOR INSPECTION,9510,8000,820904
MINOR-D:SR2021,MINOR INSPECTION,16111,8000,581514
MINOR-T:SR1027,MINOR INSPECTION,2119,8000,750881
MINOR-T:SR1027,MINOR INSPECTION,2196,8000,792800
MINOR-D:L382,MINOR INSPECTION,9791,8000,979970
MINOR-D:SR1280,MINOR INSPECTION,8154,8000,885377
MINOR-D:L301,MINOR INSPECTION,9638,8000,986890
MINOR-D:L302,MINOR INSPECTION,9667,8000,1000033
MINOR-D:L454,MINOR INSPECTION,9450,8000,867904
MINOR-D:L302,MINOR INSPECTION,9651,8000,972917
MINOR-D:1314A,MINOR INSPECTION,9278,8000,1587533
MINOR-T:SR1027,MINOR INSPECTION,2227,8000,802409
MINOR-D:SR2021,MINOR INSPECTION,16110,8000,589583
MINOR-D:L483,MINOR INSPECTION,9523,8000,854534
MINOR-T:SR1027,MINOR INSPECTION,2104,8000,776362
MINOR-T:SR1027,MINOR INSPECTION,2210,8000,801835
MINOR-D:L302,MINOR INSPECTION,9699,8000,922108
MINOR-T:SR1293,MINOR INSPECTION,2543,8000,709080
MINOR-D:L454,MINOR INSPECTION,9453,8000,899386
MINOR-T:SR1027,MINOR INSPECTION,2255,8000,790748
MINOR-D:L454,MINOR INSPECTION,9463,8000,893565
MINOR-D:L454,MINOR INSPECTION,9443,8000,912755
MINOR-T:SR1030,MINOR INSPECTION,2532,8000,709186
MINOR-T:SR1027,MINOR INSPECTION,2224,8000,784324
MINOR-D:L302,MINOR INSPECTION,9694,8000,1044820
MINOR-T:SR1027,MINOR INSPECTION,2172,8000,782400
MINOR-D:L454,MINOR INSPECTION,9448,8000,838347
MINOR-D:L454,MINOR INSPECTION,9427,8000,886065
MINOR-D:L455,MINOR INSPECTION,9486,8000,877407
MINOR-D:L301,MINOR INSPECTION,9646,8000,964703
