Document,Description,Type,Organization,Class,Revision Number,Revision Date,File Path,File Type,Out of Service,Original Filename,Uploaded
 BACKUP 1,30960 CONSUMABLE TO REPAIRABLE EMAIL _202304052038.msg,Uploaded document,BCRTC,,,,30960 CONSUMABLE TO REPAIRABLE EMAIL _202304052038.msg,,NO,30960 CONSUMABLE TO REPAIRABLE EMAIL _202304052038.msg,4/5/2023 20:38
1,Screens_110222_122740081_202202141648.EAMCONF,Uploaded document,BCRTC,,,,Screens_110222_122740081_202202141648.EAMCONF,,NO,Screens_110222_122740081_202202141648.EAMCONF,2/14/2022 16:48
10,Screens_110222_122520689_202202141648.EAMCONF,Uploaded document,BCRTC,,,,Screens_110222_122520689_202202141648.EAMCONF,,NO,Screens_110222_122520689_202202141648.EAMCONF,2/14/2022 16:49
100,Nolan Utility Trailer 394 (Photo),File system document,BCRTC,,,,https://scbcta.sharepoint.com/sites/Team-BCRTC_NRV/NRV Photos/P8240038.JPG,,NO,https://scbcta.sharepoint.com/sites/Team-BCRTC_NRV/NRV Photos/P8240038.JPG,2/22/2022 20:30
1000,Kone Ticket # 14976124_202205181622.pdf,Uploaded document,BCRTC,,,,Kone Ticket # 14976124_202205181622.pdf,,NO,Kone Ticket # 14976124_202205181622.pdf,5/18/2022 16:22
10000,"BUSHING, DELRIN",Uploaded document,BCRTC,PP,,,9009_202210181850.JPG,,NO,9009_202210181850.JPG,10/18/2022 18:50
10001,"SUPPORT, MAIN BODY CTR",Uploaded document,BCRTC,PP,,,9010_202210181850.JPG,,NO,9010_202210181850.JPG,10/18/2022 18:50
10002,"SUPPORT, MAIN BODY LH",Uploaded document,BCRTC,PP,,,9011_202210181850.JPG,,NO,9011_202210181850.JPG,10/18/2022 18:50
10003,SCOTCHGUARD,Uploaded document,BCRTC,PP,,,9012_202210181850.JPG,,NO,9012_202210181850.JPG,10/18/2022 18:50
10004,EXTRUSION,Uploaded document,BCRTC,PP,,,9013_202210181850.jpg,,NO,9013_202210181850.jpg,10/18/2022 18:50
10005,"GASKET, CORK NEOPRENE",Uploaded document,BCRTC,PP,,,9015_202210181850.JPG,,NO,9015_202210181850.JPG,10/18/2022 18:50
10006,"LABEL, CL 8 DANG GOODS",Uploaded document,BCRTC,PP,,,9016_202210181850.jpg,,NO,9016_202210181850.jpg,10/18/2022 18:50
10007,"TUBING, HEAT SHRINK",Uploaded document,BCRTC,PP,,,9017_202210181850.JPG,,NO,9017_202210181850.JPG,10/18/2022 18:50
10008,"DECAL, FIRE EXT. EMBLEM",Uploaded document,BCRTC,PP,,,9018_202210181850.jpg,,NO,9018_202210181850.jpg,10/18/2022 18:50
10009,"DECAL, EMERG TRAIN STOP",Uploaded document,BCRTC,PP,,,9019_202210181850.jpg,,NO,9019_202210181850.jpg,10/18/2022 18:50
1001,Qte9044439_202205181634.pdf,Uploaded document,BCRTC,,,,Qte9044439_202205181634.pdf,,NO,Qte9044439_202205181634.pdf,5/18/2022 16:34
10010,"11-1-15 Interior Finish, No 1 End 1100-1200- 1",Uploaded document,BCRTC,,000,10/18/2022,"11-1-15 Interior Finish, No 1 End 1100-1200- 1_20221221113619.pdf",,NO,"11-1-15 Interior Finish, No 1 End 1100-1200- 1_20221221113619.pdf",12/21/2022 0:00
10011,"DECAL, BREAK GLASS FIRE",Uploaded document,BCRTC,PP,,,9020_202210181850.JPG,,NO,9020_202210181850.JPG,10/18/2022 18:50
10012,"DECAL, TRAIN STOP",Uploaded document,BCRTC,PP,,,9022_202210181850.jpg,,NO,9022_202210181850.jpg,10/18/2022 18:51
10013,"DECAL, EMERG VERTICAL",Uploaded document,BCRTC,PP,,,9023_202210181850.JPG,,NO,9023_202210181850.JPG,10/18/2022 18:51
10014,"SIGN, NO SMOKING 8-5/8x9-3/4",Uploaded document,BCRTC,PP,,,9024_202210181850.jpg,,NO,9024_202210181850.jpg,10/18/2022 18:51
10015,"RAM, HYD 910",Uploaded document,BCRTC,PP,,,9026_202210181850.JPG,,NO,9026_202210181850.JPG,10/18/2022 18:51
10016,"GASKET, EXT EMER RELEASE",Uploaded document,BCRTC,PP,,,9027_202210181851.JPG,,NO,9027_202210181851.JPG,10/18/2022 18:51
10017,"COVERBOARD, STEP TYPE B  C/W NON SKID SURFACE",Uploaded document,BCRTC,PP,,,9028_202210181851.JPG,,NO,9028_202210181851.JPG,10/18/2022 18:51
10018,"DRAIN, TRAIN ROOF",Uploaded document,BCRTC,PP,,,9029_202210181851.JPG,,NO,9029_202210181851.JPG,10/18/2022 18:52
10019,"FLANGE, 6 BOLT",Uploaded document,BCRTC,PP,,,9055_202210181851.JPG,,NO,9055_202210181851.JPG,10/18/2022 18:52
1002,USER20220423103526754,Uploaded document,BCRTC,,,,USER20220423103526754.jpg,,NO,USER20220423103526754.jpg,5/18/2022 16:37
10020,"BLADE, JIGSAW BOSCH",Uploaded document,BCRTC,PP,,,9056_202210181851.JPG,,NO,9056_202210181851.JPG,10/18/2022 18:52
10021,"BLADE, JIGSAW BOSCH",Uploaded document,BCRTC,PP,,,9057_202210181851.JPG,,NO,9057_202210181851.JPG,10/18/2022 18:52
10022,"BATTERY, LIM DIAL GAUGE",Uploaded document,BCRTC,PP,,,9058_202210181851.JPG,,NO,9058_202210181851.JPG,10/18/2022 18:52
10023,09-05Bb FIN-PCO 901 LOWER COMPONENTS- 1,Uploaded document,BCRTC,,000,10/18/2022,09-05Bb FIN-PCO 901 LOWER COMPONENTS- 1_20221018115153.pdf,,NO,09-05Bb FIN-PCO 901 LOWER COMPONENTS- 1_20221018115153.pdf,10/18/2022 18:52
10024,"SCREW, , FULLY THREADED, STEEL 8.8, , , HEX HEAD, M8 X 35MM, , , , , ,",Uploaded document,BCRTC,PP,,,9059_202210181851.JPG,,NO,9059_202210181851.JPG,10/18/2022 18:52
10025,"WASHER, , SPRINGTREP 3LO10, , , , , , , , , , ,",Uploaded document,BCRTC,PP,,,9060_202210181851.JPG,,NO,9060_202210181851.JPG,10/18/2022 18:52
10026,"CLIP, CABLE DOUBLE",Uploaded document,BCRTC,PP,,,9061_202210181851.JPG,,NO,9061_202210181851.JPG,10/18/2022 18:52
10027,"LENS, FIXTURE LIGHT",Uploaded document,BCRTC,PP,,,9063_202210181851.JPG,,NO,9063_202210181851.JPG,10/18/2022 18:52
10028,"RAIL, UPPER DOOR",Uploaded document,BCRTC,PP,,,9064_202210181851.JPG,,NO,9064_202210181851.JPG,10/18/2022 18:52
10029,RESISTOR,Uploaded document,BCRTC,PP,,,9065_202210181851.JPG,,NO,9065_202210181851.JPG,10/18/2022 18:52
1003,597EE-20220517-Kaltire-Invoice-669182904-UM_202205172106_202205181645.pdf,Uploaded document,BCRTC,,,,597EE-20220517-Kaltire-Invoice-669182904-UM_202205172106_202205181645.pdf,,NO,597EE-20220517-Kaltire-Invoice-669182904-UM_202205172106_202205181645.pdf,5/18/2022 16:45
10030,"CLAMP, PRINT HANGING 24""",Uploaded document,BCRTC,PP,,,9067_202210181851.JPG,,NO,9067_202210181851.JPG,10/18/2022 18:52
10031,"RESISTOR, 1K OHM 1/4W 5% METAL FILM",Uploaded document,BCRTC,PP,,,9068_202210181851.JPG,,NO,9068_202210181851.JPG,10/18/2022 18:52
10032,"RESISTOR, 2.2K OHM 2.5W  5% METAL FILM",Uploaded document,BCRTC,PP,,,9069_202210181851.JPG,,NO,9069_202210181851.JPG,10/18/2022 18:52
10033,"RESISTOR, 1.6K OHM 2.5W   5% METAL FILM",Uploaded document,BCRTC,PP,,,9070_202210181851.JPG,,NO,9070_202210181851.JPG,10/18/2022 18:52
10034,"POT, 10K OHM 2.25W COMP",Uploaded document,BCRTC,PP,,,9072_202210181851.JPG,,NO,9072_202210181851.JPG,10/18/2022 18:52
10035,"POT, 1M OHM 2.25W COMP",Uploaded document,BCRTC,PP,,,9073_202210181851.JPG,,NO,9073_202210181851.JPG,10/18/2022 18:52
10036,"POT, 2K OHM  2.25W COMP",Uploaded document,BCRTC,PP,,,9074_202210181851.JPG,,NO,9074_202210181851.JPG,10/18/2022 18:52
10037,"POT, 20K OHM 2.25W COMP",Uploaded document,BCRTC,PP,,,9075_202210181851.JPG,,NO,9075_202210181851.JPG,10/18/2022 18:52
10038,"POT, 5K OHM 2.25W COMP",Uploaded document,BCRTC,PP,,,9077_202210181851.JPG,,NO,9077_202210181851.JPG,10/18/2022 18:52
10039,"POT, 50K OHM 2.25W COMP",Uploaded document,BCRTC,PP,,,9078_202210181851.JPG,,NO,9078_202210181851.JPG,10/18/2022 18:52
1004,USER20220423103526754,Uploaded document,BCRTC,,,,USER20220423103526754.jpg,,NO,USER20220423103526754.jpg,5/18/2022 16:47
10040,"POT, 500K OHM 2.25W COMP",Uploaded document,BCRTC,PP,,,9079_202210181851.JPG,,NO,9079_202210181851.JPG,10/18/2022 18:52
10041,"BALLAST, MH OR MV 175W TRI TAP",Uploaded document,BCRTC,PP,,,9080_202210181851.JPG,,NO,9080_202210181851.JPG,10/18/2022 18:52
10042,"DIODE, SUPPRESSOR TRANS",Uploaded document,BCRTC,PP,,,9081_202210181851.JPG,,NO,9081_202210181851.JPG,10/18/2022 18:52
10043,TRANSISTOR,Uploaded document,BCRTC,PP,,,9083_202210181851.JPG,,NO,9083_202210181851.JPG,10/18/2022 18:52
10044,TRANSISTOR,Uploaded document,BCRTC,PP,,,9084_202210181851.JPG,,NO,9084_202210181851.JPG,10/18/2022 18:52
10045,"DIODE, ZENER  5.6V 5W 5%",Uploaded document,BCRTC,PP,,,9085_202210181851.JPG,,NO,9085_202210181851.JPG,10/18/2022 18:52
10046,"O-RING, HBCU",Uploaded document,BCRTC,PP,,,9088_202210181851.JPG,,NO,9088_202210181851.JPG,10/18/2022 18:52
10047,"O-RING, MVCU",Uploaded document,BCRTC,PP,,,9089_202210181851.JPG,,NO,9089_202210181851.JPG,10/18/2022 18:52
10048,"O-RING, B/U MVCU",Uploaded document,BCRTC,PP,,,9090_202210181851.JPG,,NO,9090_202210181851.JPG,10/18/2022 18:52
10049,"11-1-16 Interior Finish, No 2 End 1100-1200- 1",Uploaded document,BCRTC,,000,10/18/2022,"11-1-16 Interior Finish, No 2 End 1100-1200- 1_20221221113657.pdf",,NO,"11-1-16 Interior Finish, No 2 End 1100-1200- 1_20221221113657.pdf",12/21/2022 0:00
1005,Estimate_BC_RAPID_TRANSIT_COMPANY_LTD (18)_202205181657.pdf,Uploaded document,BCRTC,,,,Estimate_BC_RAPID_TRANSIT_COMPANY_LTD (18)_202205181657.pdf,,NO,Estimate_BC_RAPID_TRANSIT_COMPANY_LTD (18)_202205181657.pdf,5/18/2022 16:57
10050,"O-RING, MVCU",Uploaded document,BCRTC,PP,,,9091_202210181851.JPG,,NO,9091_202210181851.JPG,10/18/2022 18:52
10051,"O-RING, MVCU",Uploaded document,BCRTC,PP,,,9092_202210181851.JPG,,NO,9092_202210181851.JPG,10/18/2022 18:52
10052,"O-RING, HPU",Uploaded document,BCRTC,PP,,,9093_202210181851.JPG,,NO,9093_202210181851.JPG,10/18/2022 18:52
10053,"O-RING, HBCU",Uploaded document,BCRTC,PP,,,9095_202210181851.JPG,,NO,9095_202210181851.JPG,10/18/2022 18:52
10054,"O-RING, HBCU",Uploaded document,BCRTC,PP,,,9096_202210181851.JPG,,NO,9096_202210181851.JPG,10/18/2022 18:52
10055,"FERRULE, INSULATED 16AWG",Uploaded document,BCRTC,PP,,,9097_202210181851.JPG,,NO,9097_202210181851.JPG,10/18/2022 18:52
10056,"FERRULE, INSULATED 14AWG",Uploaded document,BCRTC,PP,,,9098_202210181851.JPG,,NO,9098_202210181851.JPG,10/18/2022 18:52
10057,"SCREW, , , STEEL 8.8, ZINC PLATED, HEX 4MM SOCKET, , M6 - 1 X 16MM, UNC, , , , ,",Uploaded document,BCRTC,PP,,,9099_202210181851.JPG,,NO,9099_202210181851.JPG,10/18/2022 18:52
10058,"*MODULE, BRAKE ASSIST BAM",Uploaded document,BCRTC,PP,,,9100_202210181851.JPG,,NO,9100_202210181851.JPG,10/18/2022 18:52
10059,"DECAL, EMERG 4x24",Uploaded document,BCRTC,PP,,,9101_202210181851.JPG,,NO,9101_202210181851.JPG,10/18/2022 18:52
1006,REQ 10378___641OP-20220513-BandM-Invoice-28391-UM_202205132018_202205181711.pdf,Uploaded document,BCRTC,,,,REQ 10378___641OP-20220513-BandM-Invoice-28391-UM_202205132018_202205181711.pdf,,NO,REQ 10378___641OP-20220513-BandM-Invoice-28391-UM_202205132018_202205181711.pdf,5/18/2022 17:11
10060,"SPACER, RING",Uploaded document,BCRTC,PP,,,9118_202210181851.JPG,,NO,9118_202210181851.JPG,10/18/2022 18:52
10061,"&BRACKET, TRACK BRKE SUSP",Uploaded document,BCRTC,PP,,,9119_202210181851.JPG,,NO,9119_202210181851.JPG,10/18/2022 18:52
10062,"&BRACKET, I/B STEERING MOD",Uploaded document,BCRTC,PP,,,9120_202210181851.JPG,,NO,9120_202210181851.JPG,10/18/2022 18:52
10063,"BRACKET, O/B STEERING MOD",Uploaded document,BCRTC,PP,,,9121_202210181851.JPG,,NO,9121_202210181851.JPG,10/18/2022 18:52
10064,"SEAL, ANGLE LEFT",Uploaded document,BCRTC,PP,,,9122_202210181851.JPG,,NO,9122_202210181851.JPG,10/18/2022 18:52
10065,"GREASE, RINGSPRING FS-1 10KG DRUM",Uploaded document,BCRTC,PP,,,9123_202210181851.JPG,,NO,9123_202210181851.JPG,10/18/2022 18:52
10066,"SEAL, ANGLE RIGHT",Uploaded document,BCRTC,PP,,,9124_202210181851.JPG,,NO,9124_202210181851.JPG,10/18/2022 18:52
10067,"COIL, SPACER FUSE",Uploaded document,BCRTC,PP,,,9125_202210181851.JPG,,NO,9125_202210181851.JPG,10/18/2022 18:52
10068,"WASHER, TAB WASHER, , , , , , , , , , , ,",Uploaded document,BCRTC,PP,,,9126_202210181853.JPG,,NO,9126_202210181853.JPG,10/18/2022 18:53
10069,"DISC, CUT-OFF  3/8x3""",Uploaded document,BCRTC,PP,,,9127_202210181853.JPG,,NO,9127_202210181853.JPG,10/18/2022 18:53
1007,587-20220510-Harding-Quote-227719_202205181720.pdf,Uploaded document,BCRTC,,,,587-20220510-Harding-Quote-227719_202205181720.pdf,,NO,587-20220510-Harding-Quote-227719_202205181720.pdf,5/18/2022 17:20
10070,"LAMP, NAV 130V/100W HAL",Uploaded document,BCRTC,PP,,,9128_202210181853.JPG,,NO,9128_202210181853.JPG,10/18/2022 18:53
10071,"GASKET, RUBBER 3200MM LG 1-1/4""x7/16""",Uploaded document,BCRTC,PP,,,9129_202210181853.JPG,,NO,9129_202210181853.JPG,10/18/2022 18:53
10072,"FUSE, 1AMP 250V",Uploaded document,BCRTC,PP,,,9131_202210181853.JPG,,NO,9131_202210181853.JPG,10/18/2022 18:53
