ppm_code,ppm_desc,ppo_object,ppo_meter,ppo_meterdue
MINOR2:SR2604,MINOR 2 INSPECTION,21018,16000.000000,101134.000000
MINOR-D:SR2743,MINOR INSPECTION,22009,8000.000000,8001.000000
MINOR-D:L380,MINOR INSPECTION,9729,8000.000000,1033549.000000
MINOR-D:SR1993,MINOR INSPECTION,16003,8000.000000,545514.000000
MINOR-D:SR1993,MINOR INSPECTION,16026,8000.000000,518722.000000
MINOR-D:SR1993,MINOR INSPECTION,16038,8000.000000,528835.000000
MINOR-D:SR648,MINOR INSPECTION,7390,8000.000000,1259863.000000
MINOR-D:SR2065,MINOR INSPECTION,16204,8000.000000,450079.000000
MINOR-D:J520,MINOR INSPECTION,19401,8000.000000,326201.000000
MINOR-D:J520,MINOR INSPECTION,19425,8000.000000,533530.000000
MINOR-D:L534,MINOR INSPECTION,9578,8000.000000,880724.000000
MINOR-D:SR1993,MINOR INSPECTION,16019,8000.000000,515954.000000
MINOR-D:SR1993,MINOR INSPECTION,16041,8000.000000,551140.000000
MINOR-D:SR2065,MINOR INSPECTION,16208,8000.000000,414425.000000
MINOR-D:L534,MINOR INSPECTION,9589,8000.000000,899811.000000
MINOR-D:SR2065,MINOR INSPECTION,16216,8000.000000,439189.000000
MINOR-D:SR1123,MINOR INSPECTION,7455,8000.000000,1392186.000000
MINOR-D:SR1993,MINOR INSPECTION,16044,8000.000000,517819.000000
MINOR-D:SR2065,MINOR INSPECTION,16206,8000.000000,443629.000000
MINOR-D:J520,MINOR INSPECTION,19429,8000.000000,556870.000000
MINOR2:SR2604,MINOR 2 INSPECTION,21002,16000.000000,151461.000000
MINOR-D:SR2065,MINOR INSPECTION,16205,8000.000000,458534.000000
MINOR2:SR2604,MINOR 2 INSPECTION,21015,16000.000000,99071.000000
MINOR-D:SR2743,MINOR INSPECTION,22004,8000.000000,15679.000000
MINOR-D:J520,MINOR INSPECTION,19402,8000.000000,480013.000000
MINOR2:SR2604,MINOR 2 INSPECTION,21013,16000.000000,98587.000000
MINOR-D:SR2065,MINOR INSPECTION,16225,8000.000000,449254.000000
MINOR-D:SR1993,MINOR INSPECTION,16045,8000.000000,525098.000000
MINOR-D:SR1993,MINOR INSPECTION,16012,8000.000000,553536.000000
MINOR-D:L534,MINOR INSPECTION,9574,8000.000000,850825.000000
MINOR2:SR2604,MINOR 2 INSPECTION,21016,16000.000000,112978.000000
