Document,Description,Type,Organization,Class,Revision_Number,Revision_Date,File_Path,File_Type,Out_of_Service,Original_Filename,Uploaded,RN
33966,msds0034_202305031614.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0034_202305031614.pdf,NULL,NO,msds0034_202305031614.pdf,2023-05-03 16:14:00.0000000,2
33954,msds0040_202305031610.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0040_202305031610.pdf,NULL,NO,msds0040_202305031610.pdf,2023-05-03 16:10:00.0000000,2
33963,msds0040_202305031614.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0040_202305031614.pdf,NULL,NO,msds0040_202305031614.pdf,2023-05-03 16:14:00.0000000,3
33961,msds0049_202305031614.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0049_202305031614.pdf,NULL,NO,msds0049_202305031614.pdf,2023-05-03 16:14:00.0000000,2
33965,msds0077_202305031614.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0077_202305031614.pdf,NULL,NO,msds0077_202305031614.pdf,2023-05-03 16:14:00.0000000,2
33953,msds0107_202305031610.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0107_202305031610.pdf,NULL,NO,msds0107_202305031610.pdf,2023-05-03 16:10:00.0000000,2
33962,msds0107_202305031614.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0107_202305031614.pdf,NULL,NO,msds0107_202305031614.pdf,2023-05-03 16:14:00.0000000,3
34002,msds0176B_202305031614.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0176B_202305031614.pdf,NULL,NO,msds0176B_202305031614.pdf,2023-05-03 16:15:00.0000000,2
33969,msds0193B_202305031614.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0193B_202305031614.pdf,NULL,NO,msds0193B_202305031614.pdf,2023-05-03 16:14:00.0000000,2
33031,msds0199B_202305022016.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0199B_202305022016.pdf,NULL,NO,msds0199B_202305022016.pdf,2023-05-02 20:16:00.0000000,2
