tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,32817,PART,PART,*,*,5873#BCRTC,+,+
LDOC,32818,PART,PART,*,*,19770#BCRTC,+,+
LDOC,32819,PART,PART,*,*,11008#BCRTC,+,+
LDOC,32820,PART,PART,*,*,18296#BCRTC,+,+
LDOC,32821,PART,PART,*,*,21396#BCRTC,+,+
LDOC,32822,PART,PART,*,*,21396#BCRTC,+,+
LDOC,32823,PART,PART,*,*,14766#BCRTC,+,+
LDOC,32828,PART,PART,*,*,17420#BCRTC,+,+
LDOC,32830,PART,PART,*,*,17930#BCRTC,+,+
LDOC,32831,PART,PART,*,*,5285#BCRTC,+,+
LDOC,32832,PART,PART,*,*,17173#BCRTC,+,+
LDOC,32834,PART,PART,*,*,11009#BCRTC,+,+
LDOC,32835,PART,PART,*,*,12127#BCRTC,+,+
LDOC,32836,PART,PART,*,*,24492#BCRTC,+,+
LDOC,32837,PART,PART,*,*,20184#BCRTC,+,+
LDOC,32838,PART,PART,*,*,23295#BCRTC,+,+
LDOC,32839,PART,PART,*,*,17932#BCRTC,+,+
LDOC,32840,PART,PART,*,*,12128#BCRTC,+,+
LDOC,32840,PART,PART,*,*,7066#BCRTC,+,+
LDOC,32841,PART,PART,*,*,24644#BCRTC,+,+
LDOC,32842,PART,PART,*,*,5180#BCRTC,+,+
LDOC,32842,PART,PART,*,*,5181#BCRTC,+,+
LDOC,32843,PART,PART,*,*,5283#BCRTC,+,+
LDOC,32844,PART,PART,*,*,5335#BCRTC,+,+
LDOC,32845,PART,PART,*,*,5252#BCRTC,+,+
LDOC,32846,PART,PART,*,*,20926#BCRTC,+,+
LDOC,32847,PART,PART,*,*,24644#BCRTC,+,+
LDOC,32849,PART,PART,*,*,20255#BCRTC,+,+
LDOC,32852,PART,PART,*,*,5877#BCRTC,+,+
LDOC,32853,PART,PART,*,*,5271#BCRTC,+,+
LDOC,32854,PART,PART,*,*,6862#BCRTC,+,+
LDOC,32855,PART,PART,*,*,21357#BCRTC,+,+
LDOC,32856,PART,PART,*,*,5311#BCRTC,+,+
LDOC,32858,PART,PART,*,*,14171#BCRTC,+,+
