msds,partNumber,Original_FileName,legacy_part_number,Document,desc,tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
0002,21506,msds0002_202305031614.pdf,M38-03-0000-048,33984," SANITIZER, HAND ALCOHOL",LDOC,,PART,PART,*,*,21506#BCRTC,+,+
0003,5263,msds0003_202305031614.pdf,M40-57-0000-027,34004," OIL, AIR TOOL ROTAIR",LDOC,,PART,PART,*,*,5263#BCRTC,+,+
0005,5330,msds0005_202305022233.pdf,M43-17-0000-035,33781," SEALANT, SILICONE BLACK",LDOC,,PART,PART,*,*,5330#BCRTC,+,+
0006,17170,msds0006_202305031559.pdf,M43-17-0000-054,33948," SEALANT, PIPE W/TEFLON",LDOC,,PART,PART,*,*,17170#BCRTC,+,+
0007,22138,msds0007_202305031559.pdf,M52-02-0000-087,33945," WIPES, STAINLESS",LDOC,,PART,PART,*,*,22138#BCRTC,+,+
0008,17171,msds0008_202305031614.pdf,M43-17-0000-077,33992," SEALANT, GASKET ELIMINAT",LDOC,,PART,PART,*,*,17171#BCRTC,+,+
0009,18393,msds0009_202305031614.pdf,M40-85-0000-056,33977,"PROTECTANT, DURASHIELD",LDOC,,PART,PART,*,*,18393#BCRTC,+,+
0011,14215,msds0011_202305031559.pdf,M43-17-0000-072,33939," COMPOUND, KOPR KOTE",LDOC,,PART,PART,*,*,14215#BCRTC,+,+
0012,1447,msds0012_202305031614.pdf,A11-04-0111-460,33973," ADHESIVE, URETHANE",LDOC,,PART,PART,*,*,1447#BCRTC,+,+
0013,17550,msds0013_202305031559.pdf,M40-57-0000-060,33913," GREASE, SUPER LUBE",LDOC,,PART,PART,*,*,17550#BCRTC,+,+
0014,21663,msds0014_202305031559.pdf,M18-64-0000-017,33921," COATING, KOPR-SHIELD",LDOC,,PART,PART,*,*,21663#BCRTC,+,+
0015,18296,msds0015_202305021953.pdf,A08-13-0108-016,32820," COMPOUND, DIELECTRIC GEL",LDOC,,PART,PART,*,*,18296#BCRTC,+,+
0016,21396,msds0016_202305021953.pdf,A11-29-0111-016,32821," ADHESIVE KIT, PRO-SEAL &",LDOC,,PART,PART,*,*,21396#BCRTC,+,+
0017,21396,msds0017_202305021953.pdf,A11-29-0111-016,32822," ADHESIVE KIT, PRO-SEAL &",LDOC,,PART,PART,*,*,21396#BCRTC,+,+
0018,14766,msds0018_202305021953.pdf,M40-85-0000-042,32823," REMOVER, WAX & GREASE",LDOC,,PART,PART,*,*,14766#BCRTC,+,+
0023,17420,msds0023_202305021956.pdf,M52-02-0000-073,32828," TOWEL, GRAFFITTI",LDOC,,PART,PART,*,*,17420#BCRTC,+,+
0025,17930,msds0025_202305021956.pdf,M40-85-0000-053,32830," ALKALI, HI ALK 90",LDOC,,PART,PART,*,*,17930#BCRTC,+,+
0026,5285,msds0026_202305021956.pdf,M40-85-0000-017,32831," SOLVENT, TOLUENE 1LT",LDOC,,PART,PART,*,*,5285#BCRTC,+,+
0027,17173,msds0027_202305021956.pdf,M40-85-0000-046,32832," ACID, HYDROCHLORIC",LDOC,,PART,PART,*,*,17173#BCRTC,+,+
0030,24155,msds0030_202305031559.pdf,A11-29-0203-001,33912," FLOORING",LDOC,,PART,PART,*,*,24155#BCRTC,+,+
0030,24156,msds0030_202305031559.pdf,A11-29-0203-002,33912," FLOORING",LDOC,,PART,PART,*,*,24156#BCRTC,+,+
0030,24157,msds0030_202305031559.pdf,A11-29-0203-003,33912," FLOORING",LDOC,,PART,PART,*,*,24157#BCRTC,+,+
0030,24158,msds0030_202305031559.pdf,A11-29-0203-004,33912," FLOORING",LDOC,,PART,PART,*,*,24158#BCRTC,+,+
0030,24159,msds0030_202305031559.pdf,A11-29-0203-005,33912,FLOORING,LDOC,,PART,PART,*,*,24159#BCRTC,+,+
0030,24160,msds0030_202305031559.pdf,A11-29-0203-006,33912," FLOORING",LDOC,,PART,PART,*,*,24160#BCRTC,+,+
0030,24161,msds0030_202305031559.pdf,A11-29-0203-007,33912," FLOORING",LDOC,,PART,PART,*,*,24161#BCRTC,+,+
0030,24163,msds0030_202305031559.pdf,A11-29-0203-008,33912," FLOORING",LDOC,,PART,PART,*,*,24163#BCRTC,+,+
0030,24164,msds0030_202305031559.pdf,A11-29-0203-009,33912," FLOORING",LDOC,,PART,PART,*,*,24164#BCRTC,+,+
0030,24165,msds0030_202305031559.pdf,A11-29-0203-010,33912," FLOORING",LDOC,,PART,PART,*,*,24165#BCRTC,+,+
0030,24187,msds0030_202305031559.pdf,A11-29-0203-011,33912," FLOORING, FRONT VERTICAL",LDOC,,PART,PART,*,*,24187#BCRTC,+,+
0030,24188,msds0030_202305031559.pdf,A11-29-0203-012,33912," FLOORING, REAR VERTICAL",LDOC,,PART,PART,*,*,24188#BCRTC,+,+
0032,21923,msds0032_202305031614.pdf,M43-17-0000-092,33993," ADHESIVE, PIES PL CABLE",LDOC,,PART,PART,*,*,21923#BCRTC,+,+
0033,7196,msds0033_202305031614.pdf,M43-17-0000-058,33975,"SEALANT, WHITE 75AM",LDOC,,PART,PART,*,*,7196#BCRTC,+,+
0033,20243,msds0033_202305031614.pdf,M43-17-0000-082,33975,"SEALANT, GREY 75AM",LDOC,,PART,PART,*,*,20243#BCRTC,+,+
0033,20244,msds0033_202305031614.pdf,M43-17-0000-083,33975,"SEALANT, BLACK 75AM",LDOC,,PART,PART,*,*,20244#BCRTC,+,+
0034,5251,msds0034_202305031610.pdf,M18-64-0000-005,33958," COATING, ACRYLIC SPRAY",LDOC,,PART,PART,*,*,5251#BCRTC,+,+
0035,5329,msds0035_202305031559.pdf,M43-17-0000-034,33933," SEALANT, CARTRIDGE",LDOC,,PART,PART,*,*,5329#BCRTC,+,+
0037,5287,msds0037_202305031559.pdf,M40-85-0000-019,33909," CLEANER, LPS ELECTRONIC",LDOC,,PART,PART,*,*,5287#BCRTC,+,+
0038,18510,msds0038_202305031624.pdf,M40-57-0000-062,34046," GREASE, NO-OX-ID BATTERY",LDOC,,PART,PART,*,*,18510#BCRTC,+,+
0040,5916,msds0040_202305031559.pdf,M43-17-0000-029,33951," ADHESIVE",LDOC,,PART,PART,*,*,5916#BCRTC,+,+
0040,25345,msds0040_202305031559.pdf,M43-17-0000-105,33951," ADHESIVE",LDOC,,PART,PART,*,*,25345#BCRTC,+,+
0041,5258,msds0041_202305031614.pdf,M40-57-0000-008,33974," GREASE, MOLYKOTE CRTG",LDOC,,PART,PART,*,*,5258#BCRTC,+,+
0042,5974,msds0042_202305031624.pdf,M52-02-0000-042,34016," ABSORBANT, FLOOR DRY",LDOC,,PART,PART,*,*,5974#BCRTC,+,+
0043,20237,msds0043_202305031624.pdf,M40-85-0000-061,34028,"DEFOAMER, DEPRESS PLUS",LDOC,,PART,PART,*,*,20237#BCRTC,+,+
0046,14231,msds0046_202305022237.pdf,M43-17-0000-073,33790," FLUID, ALUM TAPPING",LDOC,,PART,PART,*,*,14231#BCRTC,+,+
0047,5884,msds0047_202305031614.pdf,M40-57-0000-044,33998," LUBRICANT, 6 IN 1",LDOC,,PART,PART,*,*,5884#BCRTC,+,+
0048,5309,msds0048_202305031614.pdf,M43-17-0000-063,33978," ADHESIVE, 2 TON EPOXY",LDOC,,PART,PART,*,*,5309#BCRTC,+,+
0049,5914,msds0049_202305031559.pdf,M43-17-0000-027,33949," ADHESIVE, 5-MIN EPOXY",LDOC,,PART,PART,*,*,5914#BCRTC,+,+
